"package_item_A","package_item_B","package_item_C","overall_best","overall_worst","age","district","gender","longitude","latitude","planting_date","end_date","cycle"
"NAROCASS 1","UG110164","MM20180054","C","B",51,"Dokolo","Male",33.12769,1.939387,2021-09-29,2022-09-29,2
"UG15F302P513","UG15F177P502","UG15F106P002","A","B",31,"Dokolo","Male",33.11807,1.946322,2021-09-29,2022-09-29,2
"UG15FF265P001","UGC14170","UG15F170P507","A","C",48,"Dokolo","Male",33.11883,1.94234,2021-09-29,2022-09-29,2
"UG15F140P003","MM20180054","UG15F302P513","A","C",60,"Dokolo","Female",33.1306,1.938948,2021-09-29,2022-09-29,2
"UGC14170","UG15F106P002","UG15FF265P001","B","A",26,"Dokolo","Female",33.13187,1.938437,2021-09-29,2022-09-29,2
"NAROCASS 1","UG15F140P003","UGC14170","A","C",22,"Dokolo","Female",33.1303,1.937908,2021-09-29,2022-09-29,2
"UG15F302P513","UG15FF265P001","UG15F177P502","A","C",58,"Dokolo","Male",33.13178,1.939542,2021-09-29,2022-09-29,2
"UG110164","NAROCASS 1","MM20180054","C","A",57,"Dokolo","Male",33.22512,1.953759,2021-09-28,2022-09-28,2
"UG15FF265P001","UG15F302P513","UG110164","A","C",33,"Dokolo","Female",33.23131,1.960724,2021-09-28,2022-09-28,2
"MM20180054","NAROCASS 1","UG15F170P507","A","C",30,"Dokolo","Male",33.23205,1.95575,2021-09-28,2022-09-28,2
"UG15F140P003","UG15F177P502","UG15F106P002","C","B",23,"Dokolo","Female",33.23048,1.963982,2021-09-28,2022-09-28,2
"UGC14170","MM20180054","UG15FF265P001","C","A",40,"Dokolo","Female",33.22491,1.950262,2021-09-28,2022-09-28,2
"NAROCASS 1","UG15F302P513","UGC14170","C","B",26,"Dokolo","Female",33.23028,1.959062,2021-09-28,2022-09-28,2
"UG15F106P002","UG15F140P003","UG15F302P513","B","A",50,"Dokolo","Male",33.23121,1.963084,2021-09-28,2022-09-28,2
"UG15F177P502","MM20180054","NAROCASS 1","B","A",44,"Dokolo","Male",33.20259,1.989373,2021-09-28,2022-09-28,2
"MM20180054","UG15F170P507","UG15F140P003","C","B",49,"Dokolo","Female",33.16444,1.994801,2021-09-28,2022-09-28,2
"UG110164","UG15FF265P001","NAROCASS 1","A","B",53,"Dokolo","Male",33.15577,2.001156,2021-09-28,2022-09-28,2
"MM20180054","UG15FF265P001","UG15F106P002","B","C",40,"Dokolo","Male",33.15825,1.997788,2021-09-28,2022-09-28,2
"UGC14170","UG15F140P003","UG15F106P002","C","B",30,"Dokolo","Female",33.15649,2.002114,2021-09-28,2022-09-28,2
"UG15F170P507","UG110164","UG15F302P513","C","B",34,"Dokolo","Female",33.15829,1.997761,2021-09-28,2022-09-28,2
"UG15F177P502","UG110164","MM20180054","B","C",58,"Dokolo","Male",33.16395,1.995806,2021-09-28,2022-09-28,2
"UG15F140P003","UG15F177P502","NAROCASS 1","B","A",45,"Buikwe","Male",33.03097,0.2554429,2021-10-02,2022-10-02,2
"UG15F177P502","UGC14170","UG110164","B","A",42,"Buikwe","Male",33.03038,0.2538106,2021-10-02,2022-10-02,2
"UG15F106P002","MM20180054","UG15F140P003","B","C",19,"Buikwe","Female",33.02978,0.2607806,2021-10-02,2022-10-02,2
"NAROCASS 1","UG15F170P507","UGC14170","C","B",45,"Buikwe","Male",33.03039,0.2538125,2021-10-02,2022-10-02,2
"UG110164","UG15F140P003","UG15FF265P001","A","C",42,"Buikwe","Female",33.01939,0.2661209,2021-10-02,2022-10-02,2
"UGC14170","MM20180054","UG15F302P513","A","B",30,"Buikwe","Female",33.03012,0.2539715,2021-10-02,2022-10-02,2
"UG15F170P507","UG15F106P002","UG15F177P502","A","C",21,"Buikwe","Female",33.02983,0.2605888,2021-10-02,2022-10-02,2
"MM20180054","UGC14170","UG110164","A","B",39,"Buikwe","Female",33.01997,0.26277,2021-10-02,2022-10-02,2
"UG15F140P003","UG15FF265P001","UG15F170P507","A","B",41,"Buikwe","Male",33.01732,0.2641707,2021-10-02,2022-10-02,2
"UG15F106P002","UG110164","NAROCASS 1","C","A",45,"Buikwe","Male",33.01503,0.2688239,2021-10-02,2022-10-02,2
"UG15F177P502","NAROCASS 1","MM20180054","C","A",58,"Buikwe","Female",32.96707,0.2290786,2021-10-02,2022-10-02,2
"UG15FF265P001","UG15F170P507","UG15F302P513","A","C",52,"Buikwe","Female",32.96335,0.2269997,2021-10-02,2022-10-02,2
"UGC14170","UG15F140P003","UG15F177P502","A","B",58,"Buikwe","Female",32.95681,0.2227799,2021-10-02,2022-10-02,2
"NAROCASS 1","UG15FF265P001","UGC14170","A","B",45,"Buikwe","Male",32.96265,0.226238,2021-10-02,2022-10-02,2
"MM20180054","UG15F106P002","UG15F140P003","B","C",5,"Buikwe","Male",32.95672,0.2226142,2021-10-02,2022-10-02,2
"UG110164","UG15F302P513","UG15F170P507","C","A",46,"Buikwe","Male",32.95746,0.2216276,2021-10-02,2022-10-02,2
"UG15F170P507","UG15F177P502","MM20180054","C","A",48,"Buikwe","Female",32.95747,0.2216328,2021-10-02,2022-10-02,2
"UG15F140P003","UGC14170","UG110164","B","A",40,"Buikwe","Male",32.95499,0.239001,2021-10-03,2022-10-03,2
"UG15FF265P001","UG110164","UG15F177P502","A","C",59,"Buikwe","Female",32.96105,0.2222577,2021-10-03,2022-10-03,2
"UGC14170","UG15FF265P001","UG15F106P002","B","C",36,"Buikwe","Female",32.96239,0.2274061,2021-10-02,2022-10-02,2
"MM20180054","NAROCASS 1","UG15F302P513","B","C",43,"Buikwe","Female",32.95982,0.2250893,2021-10-03,2022-10-03,2
"UG15F170P507","UG15F140P003","UG15FF265P001","A","C",57,"Buikwe","Female",33.10704,0.3267642,2021-10-01,2022-10-01,2
"UG15F140P003","MM20180054","UG15F170P507","A","B",28,"Buikwe","Male",33.10222,0.3330338,2021-10-01,2022-10-01,2
"UG15F302P513","UG15F170P507","UGC14170","C","A",56,"Buikwe","Female",33.10075,0.3373597,2021-10-01,2022-10-01,2
"NAROCASS 1","UG15F106P002","UG15F140P003","C","A",52,"Buikwe","Female",33.10039,0.3359439,2021-10-01,2022-10-01,2
"UG110164","MM20180054","UG15F170P507","C","B",46,"Buikwe","Male",33.10639,0.3286434,2021-10-01,2022-10-01,2
"UG15F177P502","UG110164","UG15F106P002","B","C",44,"Buikwe","Female",33.10424,0.3283719,2021-10-01,2022-10-01,2
