"package_item_A","package_item_B","package_item_C","overall_best","overall_worst","age","district","gender","longitude","latitude","planting_date","end_date","cycle"
"UG15FF265P001","UG15F140P003","UG15F177P502","B","A",26,"Arua","Female",30.89729,2.783097,2021-09-25,2022-09-25,2
"UG15F177P502","NAROCASS 1","UG15FF265P001","C","B",45,"Arua","Female",30.91839,2.78287,2021-09-25,2022-09-25,2
"UG15F170P507","UG15F302P513","UGC14170","C","B",28,"Arua","Female",30.90454,2.781102,2021-09-25,2022-09-25,2
"NAROCASS 1","UG15FF265P001","UG15F106P002","A","C",32,"Arua","Male",30.91644,2.776209,2021-09-25,2022-09-25,2
"UGC14170","UG15F177P502","MM20180054","A","B",43,"Arua","Male",30.91959,2.781475,2021-09-25,2022-09-25,2
"UG15FF265P001","UG110164","UG15F170P507","C","A",22,"Arua","Female",30.89896,2.787813,2021-09-25,2022-09-25,2
"UG15F170P507","UG15F140P003","UG15F302P513","C","B",42,"Arua","Female",30.98428,2.952207,2021-09-27,2022-09-27,2
"UG110164","NAROCASS 1","UG15F140P003","B","C",22,"Arua","Female",30.98317,2.949031,2021-10-25,2022-10-25,2
"UG15F177P502","UG15FF265P001","UG110164","C","A",32,"Arua","Male",30.99522,2.943956,2021-09-27,2022-09-27,2
"UG15F140P003","MM20180054","UGC14170","B","A",28,"Arua","Male",30.99491,2.985221,2021-09-27,2022-09-27,2
"MM20180054","UG110164","UG15F302P513","C","A",46,"Arua","Female",30.996,2.957502,2021-09-27,2022-09-27,2
"NAROCASS 1","UGC14170","UG15F177P502","A","B",29,"Arua","Male",30.99318,2.941424,2021-09-27,2022-09-27,2
"UG15F302P513","UG15F177P502","UG15F106P002","B","C",29,"Arua","Male",30.9848,2.951552,2021-09-27,2022-09-27,2
"UG15F140P003","UG110164","NAROCASS 1","C","B",27,"Arua","Male",30.95614,2.955944,2021-09-26,2022-09-26,2
"UGC14170","UG15F106P002","UG110164","A","B",30,"Arua","Male",30.95253,2.958009,2021-09-26,2022-09-26,2
"UG15F170P507","UG15F177P502","UG15FF265P001","B","C",45,"Arua","Male",30.9456,2.96636,2021-09-26,2022-09-26,2
"UG110164","UG15FF265P001","NAROCASS 1","A","C",37,"Arua","Male",30.95438,2.960027,2021-09-26,2022-09-26,2
"UG15F170P507","UG15F302P513","MM20180054","A","C",36,"Arua","Male",30.95388,2.960335,2021-09-26,2022-09-26,2
"UG15F106P002","NAROCASS 1","UG15F140P003","A","B",30,"Arua","Male",30.97299,2.95985,2021-09-27,2022-09-27,2
"NAROCASS 1","UGC14170","UG15F177P502","B","C",37,"Arua","Male",30.97656,2.963626,2021-09-27,2022-09-27,2
"UG15FF265P001","UG110164","UG15F302P513","C","A",32,"Arua","Female",30.95356,2.960163,2021-09-26,2022-09-26,2
"UG15F302P513","UG15F106P002","MM20180054","B","C",26,"Arua","Female",30.95298,2.955168,2021-09-26,2022-09-26,2
"UG15F177P502","UG15FF265P001","UG15F170P507","C","B",26,"Arua","Female",30.97086,2.954059,2021-09-25,2022-09-25,2
"UG15F140P003","MM20180054","UGC14170","A","C",44,"Arua","Female",30.96817,2.958208,2021-09-27,2022-09-27,2
